kode_ba;kode_akun;kode_kab;blokir;kontrak;realisasi;bulan;tahun
'006;52;1306;0;0;395217950;Maret;2023
'006;53;1306;0;0;0;Maret;2023
'013;51;1306;0;0;426709098;Maret;2023
'013;52;1306;0;2768451165;1696013121;Maret;2023
'013;53;1306;0;0;79554000;Maret;2023
'015;51;1306;0;0;62954000;Maret;2023
'015;52;1306;0;0;588503275;Maret;2023
'015;53;1306;0;0;0;Maret;2023
'022;51;1306;0;0;610355639;Maret;2023
'022;52;1306;0;0;920203337;Maret;2023
'022;53;1306;0;11122984683;240182400;Maret;2023
'023;51;1306;0;0;737537397;Maret;2023
'023;52;1306;0;0;883986191;Maret;2023
'023;53;1306;0;0;448568000;Maret;2023
'025;51;1306;0;0;4560892351;Maret;2023
'025;51;1311;0;0;668907369;Maret;2023
'025;52;1306;0;0;1094751750;Maret;2023
'025;52;1311;0;0;254662042;Maret;2023
'025;53;1306;0;0;37903800;Maret;2023
'025;53;1311;0;0;205536000;Maret;2023
'029;51;1306;0;0;410707720;Maret;2023
'029;52;1306;30315000;0;402441827;Maret;2023
'029;53;1306;0;55999373;265821036;Maret;2023
'032;51;1311;0;0;150087371;Maret;2023
'032;52;1311;298165000;231266560;359273228;Maret;2023
'032;53;1311;0;0;0;Maret;2023
'054;51;1306;0;0;247563663;Maret;2023
'054;51;1311;0;0;180526839;Maret;2023
'054;52;1306;753022000;0;398832549;Maret;2023
'054;52;1311;689246000;0;143916838;Maret;2023
'056;51;1306;0;0;114513421;Maret;2023
'056;51;1311;0;0;75674955;Maret;2023
'056;52;1306;69135000;0;280688649;Maret;2023
'056;52;1311;0;0;216799000;Maret;2023
'056;53;1306;0;418806000;0;Maret;2023
'056;53;1311;0;1320248000;0;Maret;2023
'060;51;1306;0;0;3238292573;Maret;2023
'060;51;1311;0;0;1471005734;Maret;2023
'060;52;1306;0;801767695;2001692136;Maret;2023
'060;52;1311;0;594082500;715948182;Maret;2023
'060;53;1306;0;0;0;Maret;2023
'060;53;1311;0;1122406740;81335500;Maret;2023
'075;51;1306;0;0;80278934;Maret;2023
'075;52;1306;26380000;0;44899436;Maret;2023
'075;53;1306;0;0;179700000;Maret;2023
'076;51;1306;0;0;147504081;Maret;2023
'076;51;1311;0;0;150995575;Maret;2023
'076;52;1306;0;0;5014995620;Maret;2023
'076;52;1311;0;0;989092700;Maret;2023
'076;53;1306;0;0;0;Maret;2023
'076;53;1311;0;0;0;Maret;2023
115;51;1306;0;0;72045377;Maret;2023
115;52;1306;93398000;0;1843415155;Maret;2023
115;53;1306;36036000;0;30500000;Maret;2023
999;61;1306;0;0;4889554690;Maret;2023
999;61;1311;0;0;1081491850;Maret;2023
999;62;1306;0;0;99534631000;Maret;2023
999;62;1311;0;0;26108062000;Maret;2023
999;63;1306;0;0;0;Maret;2023
999;63;1311;0;0;0;Maret;2023
999;64;1311;0;0;0;Maret;2023
999;65;1306;0;0;53779364950;Maret;2023
999;65;1311;0;0;13238494900;Maret;2023
999;66;1306;0;0;33273835800;Maret;2023
999;66;1311;0;0;10710480900;Maret;2023
'005;51;1306;0;0;870658140;April;2023
'005;52;1306;0;23333360;365935813;April;2023
'005;53;1306;0;0;0;April;2023
'006;51;1306;0;0;636445971;April;2023
'006;52;1306;0;0;178312050;April;2023
'006;53;1306;0;0;0;April;2023
'013;51;1306;0;0;774633473;April;2023
'013;52;1306;0;2768451165;1378655215;April;2023
'013;53;1306;0;0;0;April;2023
'015;51;1306;0;0;84653000;April;2023
'015;52;1306;0;0;888811334;April;2023
'015;53;1306;0;0;0;April;2023
'022;51;1306;0;0;1095919548;April;2023
'022;52;1306;0;0;1263774124;April;2023
'022;53;1306;0;11122984683;8168580000;April;2023
'023;51;1306;0;0;1258938272;April;2023
'023;52;1306;0;0;1699072437;April;2023
'023;53;1306;0;0;0;April;2023
'025;51;1306;0;0;3981523294;April;2023
'025;51;1311;0;0;1752505271;April;2023
'025;52;1306;0;0;818879611;April;2023
'025;52;1311;0;0;467036892;April;2023
'025;53;1306;0;0;35746000;April;2023
'025;53;1311;0;0;14500000;April;2023
'029;51;1306;0;0;710726151;April;2023
'029;52;1306;30315000;0;426903355;April;2023
'029;53;1306;0;55999373;524690766;April;2023
'032;51;1311;0;0;241256484;April;2023
'032;52;1311;298165000;231266560;306167784;April;2023
'032;53;1311;0;0;65180000;April;2023
'054;51;1306;0;0;493646981;April;2023
'054;51;1311;0;0;343611854;April;2023
'054;52;1306;753022000;0;381280500;April;2023
'054;52;1311;689246000;0;182564775;April;2023
'056;51;1306;0;0;214490979;April;2023
'056;51;1311;0;0;141179805;April;2023
'056;52;1306;69135000;0;901434653;April;2023
'056;52;1311;0;0;189007600;April;2023
'056;53;1306;0;418806000;0;April;2023
'056;53;1311;0;1320248000;19700000;April;2023
'060;51;1306;0;0;5512804518;April;2023
'060;51;1311;0;0;2411147391;April;2023
'060;52;1306;0;801767695;1185880548;April;2023
'060;52;1311;0;594082500;553441450;April;2023
'060;53;1306;0;0;0;April;2023
'060;53;1311;0;1122406740;29154000;April;2023
'075;51;1306;0;0;131999468;April;2023
'075;52;1306;26380000;0;37576230;April;2023
'075;53;1306;0;0;0;April;2023
'076;51;1306;0;0;264709221;April;2023
'076;51;1311;0;0;268606087;April;2023
'076;52;1306;0;0;4871550000;April;2023
'076;52;1311;0;0;1255595698;April;2023
'076;53;1306;0;0;0;April;2023
'076;53;1311;0;0;0;April;2023
115;51;1306;0;0;156337216;April;2023
115;52;1306;93398000;0;1396017075;April;2023
115;53;1306;36036000;0;78400000;April;2023
999;61;1306;0;0;38342003100;April;2023
999;61;1311;0;0;5504944500;April;2023
999;62;1306;0;0;98334310000;April;2023
999;62;1311;0;0;26108062000;April;2023
999;63;1306;0;0;0;April;2023
999;63;1311;0;0;0;April;2023
999;64;1311;0;0;0;April;2023
999;65;1306;0;0;40740868992;April;2023
999;65;1311;0;0;15862538000;April;2023
999;66;1306;0;0;22393113900;April;2023
999;66;1311;0;0;6417117300;April;2023
'005;51;1306;0;0;410640050;Mei;2023
'005;52;1306;0;23333360;174777042;Mei;2023
'005;53;1306;0;0;0;Mei;2023
'006;51;1306;0;0;363278745;Mei;2023
'006;52;1306;0;0;338628900;Mei;2023
'006;53;1306;0;0;0;Mei;2023
'013;51;1306;0;0;414619843;Mei;2023
'013;52;1306;0;2768451165;1288999449;Mei;2023
'013;53;1306;0;0;36371000;Mei;2023
'015;51;1306;0;0;69727000;Mei;2023
'015;52;1306;0;0;869604827;Mei;2023
'015;53;1306;0;0;0;Mei;2023
'022;51;1306;0;0;627259606;Mei;2023
'022;52;1306;0;0;804003953;Mei;2023
'022;53;1306;0;11122984683;180136800;Mei;2023
'023;51;1306;0;0;743619705;Mei;2023
'023;52;1306;0;0;885238103;Mei;2023
'023;53;1306;0;0;64614653;Mei;2023
'025;51;1306;0;0;3264042680;Mei;2023
'025;51;1311;0;0;878337473;Mei;2023
'025;52;1306;0;0;947022823;Mei;2023
'025;52;1311;0;0;347855859;Mei;2023
'025;53;1306;0;0;60000000;Mei;2023
'025;53;1311;0;0;36424000;Mei;2023
'029;51;1306;0;0;400634418;Mei;2023
'029;52;1306;30315000;0;439892976;Mei;2023
'029;53;1306;0;55999373;2681224;Mei;2023
'032;51;1311;0;0;137154728;Mei;2023
'032;52;1311;298165000;231266560;379598764;Mei;2023
'032;53;1311;0;0;0;Mei;2023
'054;51;1306;0;0;311191647;Mei;2023
'054;51;1311;0;0;191348010;Mei;2023
'054;52;1306;753022000;0;893477755;Mei;2023
